state,year,month,drug_type,deaths, deaths
Alaska,2018,January,"Opioids (T40.0-T40.4,T40.6)",100.0,100.0
Alaska,2018,July,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",59.0,59.0
Alaska,2018,July,"Synthetic opioids, excl. methadone (T40.4)",22.0,22.0
Alaska,2018,July,Natural & semi-synthetic opioids (T40.2),38.0,38.0
Alaska,2018,July,"Opioids (T40.0-T40.4,T40.6)",76.0,76.0
Alaska,2018,July,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",43.0,43.0
Alaska,2018,June,"Opioids (T40.0-T40.4,T40.6)",85.0,85.0
Alaska,2018,June,"Synthetic opioids, excl. methadone (T40.4)",24.0,24.0
Alaska,2018,June,Natural & semi-synthetic opioids (T40.2),43.0,43.0
Alaska,2018,June,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",65.0,65.0
Alaska,2018,June,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",48.0,48.0
Alaska,2018,March,Natural & semi-synthetic opioids (T40.2),47.0,47.0
Alaska,2018,March,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",53.0,53.0
Alaska,2018,March,"Synthetic opioids, excl. methadone (T40.4)",38.0,38.0
Alaska,2018,March,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",79.0,79.0
Alaska,2018,March,"Opioids (T40.0-T40.4,T40.6)",101.0,101.0
Alaska,2018,May,"Opioids (T40.0-T40.4,T40.6)",88.0,88.0
Alaska,2018,May,"Synthetic opioids, excl. methadone (T40.4)",27.0,27.0
Alaska,2018,May,Natural & semi-synthetic opioids (T40.2),43.0,43.0
Alaska,2018,May,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",67.0,67.0
Alaska,2018,May,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",48.0,48.0
Alaska,2018,November,"Synthetic opioids, excl. methadone (T40.4)",19.0,19.0
Alaska,2018,November,"Opioids (T40.0-T40.4,T40.6)",68.0,68.0
Alaska,2018,November,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",38.0,38.0
Alaska,2018,November,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",50.0,50.0
Alaska,2018,November,Natural & semi-synthetic opioids (T40.2),34.0,34.0
Alaska,2018,October,Natural & semi-synthetic opioids (T40.2),31.0,31.0
Alaska,2018,October,"Opioids (T40.0-T40.4,T40.6)",65.0,65.0
Alaska,2018,October,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",48.0,48.0
Alaska,2018,October,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",36.0,36.0
Alaska,2018,October,"Synthetic opioids, excl. methadone (T40.4)",18.0,18.0
Alaska,2018,September,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",48.0,48.0
Alaska,2018,September,Natural & semi-synthetic opioids (T40.2),31.0,31.0
Alaska,2018,September,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",36.0,36.0
Alaska,2018,September,"Opioids (T40.0-T40.4,T40.6)",65.0,65.0
Alaska,2018,September,"Synthetic opioids, excl. methadone (T40.4)",16.0,16.0
Alaska,2019,April,Natural & semi-synthetic opioids (T40.2),44.0,44.0
Alaska,2019,April,"Synthetic opioids, excl. methadone (T40.4)",19.0,19.0
Alaska,2019,April,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",55.0,55.0
Alaska,2019,April,"Opioids (T40.0-T40.4,T40.6)",78.0,78.0
Alaska,2019,April,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",45.0,45.0
Alaska,2019,August,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",50.0,50.0
Alaska,2019,August,"Opioids (T40.0-T40.4,T40.6)",78.0,78.0
Alaska,2019,August,"Synthetic opioids, excl. methadone (T40.4)",20.0,20.0
Alaska,2019,August,Natural & semi-synthetic opioids (T40.2),40.0,40.0
Alaska,2019,August,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",42.0,42.0
Alaska,2019,December,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",46.0,46.0
Alaska,2019,December,Natural & semi-synthetic opioids (T40.2),41.0,41.0
Alaska,2019,December,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",60.0,60.0
Alaska,2019,December,"Opioids (T40.0-T40.4,T40.6)",83.0,83.0
Alaska,2019,December,"Synthetic opioids, excl. methadone (T40.4)",23.0,23.0
Alaska,2019,February,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",42.0,42.0
Alaska,2019,February,"Synthetic opioids, excl. methadone (T40.4)",16.0,16.0
Alaska,2019,February,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",51.0,51.0
Alaska,2019,February,"Opioids (T40.0-T40.4,T40.6)",71.0,71.0
Alaska,2019,February,Natural & semi-synthetic opioids (T40.2),40.0,40.0
Alaska,2019,January,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",40.0,40.0
Alaska,2019,January,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",48.0,48.0
Alaska,2019,January,"Synthetic opioids, excl. methadone (T40.4)",14.0,14.0
Alaska,2019,January,"Opioids (T40.0-T40.4,T40.6)",65.0,65.0
Alaska,2019,January,Natural & semi-synthetic opioids (T40.2),37.0,37.0
Alaska,2019,July,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",53.0,53.0
Alaska,2019,July,"Opioids (T40.0-T40.4,T40.6)",83.0,83.0
Alaska,2019,July,"Synthetic opioids, excl. methadone (T40.4)",19.0,19.0
Alaska,2019,July,Natural & semi-synthetic opioids (T40.2),43.0,43.0
Alaska,2019,July,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",45.0,45.0
Alaska,2019,June,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",53.0,53.0
Alaska,2019,June,"Opioids (T40.0-T40.4,T40.6)",81.0,81.0
Alaska,2019,June,"Synthetic opioids, excl. methadone (T40.4)",20.0,20.0
Alaska,2019,June,Natural & semi-synthetic opioids (T40.2),41.0,41.0
Alaska,2019,June,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",43.0,43.0
Alaska,2019,March,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",57.0,57.0
Alaska,2019,March,"Synthetic opioids, excl. methadone (T40.4)",20.0,20.0
Alaska,2019,March,Natural & semi-synthetic opioids (T40.2),45.0,45.0
Alaska,2019,March,"Opioids (T40.0-T40.4,T40.6)",79.0,79.0
Alaska,2019,March,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",47.0,47.0
Alaska,2019,May,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",55.0,55.0
Alaska,2019,May,"Synthetic opioids, excl. methadone (T40.4)",20.0,20.0
Alaska,2019,May,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",45.0,45.0
Alaska,2019,May,"Opioids (T40.0-T40.4,T40.6)",80.0,80.0
Alaska,2019,May,Natural & semi-synthetic opioids (T40.2),44.0,44.0
Alaska,2019,November,"Opioids (T40.0-T40.4,T40.6)",88.0,88.0
Alaska,2019,November,"Synthetic opioids, excl. methadone (T40.4)",25.0,25.0
Alaska,2019,November,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",62.0,62.0
Alaska,2019,November,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",48.0,48.0
Alaska,2019,November,Natural & semi-synthetic opioids (T40.2),43.0,43.0
Alaska,2019,October,Natural & semi-synthetic opioids (T40.2),44.0,44.0
Alaska,2019,October,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",63.0,63.0
Alaska,2019,October,"Opioids (T40.0-T40.4,T40.6)",92.0,92.0
Alaska,2019,October,"Synthetic opioids, excl. methadone (T40.4)",27.0,27.0
Alaska,2019,October,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",48.0,48.0
Alaska,2019,September,"Opioids (T40.0-T40.4,T40.6)",84.0,84.0
Alaska,2019,September,Natural & semi-synthetic opioids (T40.2),40.0,40.0
Alaska,2019,September,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",55.0,55.0
Alaska,2019,September,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",43.0,43.0
Alaska,2019,September,"Synthetic opioids, excl. methadone (T40.4)",24.0,24.0
Alaska,2020,April,"Opioids (T40.0-T40.4,T40.6)",74.0,74.0
Alaska,2020,April,"Synthetic opioids, excl. methadone (T40.4)",31.0,31.0
Alaska,2020,April,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",57.0,57.0
Alaska,2020,April,Natural & semi-synthetic opioids (T40.2),30.0,30.0
Alaska,2020,April,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",36.0,36.0
Alaska,2020,August,"Opioids (T40.0-T40.4,T40.6)",98.0,98.0
Alaska,2020,August,Natural & semi-synthetic opioids (T40.2),38.0,38.0
Alaska,2020,August,"Synthetic opioids, excl. methadone (T40.4)",53.0,53.0
Alaska,2020,August,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",83.0,83.0
Alaska,2020,August,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",46.0,46.0
Alaska,2020,December,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",44.0,44.0
Alaska,2020,December,"Synthetic opioids, excl. methadone (T40.4)",61.0,61.0
Alaska,2020,December,Natural & semi-synthetic opioids (T40.2),37.0,37.0
Alaska,2020,December,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",88.0,88.0
Alaska,2020,December,"Opioids (T40.0-T40.4,T40.6)",102.0,102.0
Alaska,2020,February,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",40.0,40.0
Alaska,2020,February,Natural & semi-synthetic opioids (T40.2),34.0,34.0
Alaska,2020,February,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",53.0,53.0
Alaska,2020,February,"Opioids (T40.0-T40.4,T40.6)",73.0,73.0
Alaska,2020,February,"Synthetic opioids, excl. methadone (T40.4)",24.0,24.0
Alaska,2020,January,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",44.0,44.0
Alaska,2020,January,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",56.0,56.0
Alaska,2020,January,"Opioids (T40.0-T40.4,T40.6)",80.0,80.0
Alaska,2020,January,Natural & semi-synthetic opioids (T40.2),38.0,38.0
Alaska,2020,January,"Synthetic opioids, excl. methadone (T40.4)",24.0,24.0
Alaska,2020,July,Natural & semi-synthetic opioids (T40.2),37.0,37.0
Alaska,2020,July,"Opioids (T40.0-T40.4,T40.6)",93.0,93.0
Alaska,2020,July,"Synthetic opioids, excl. methadone (T40.4)",48.0,48.0
Alaska,2020,July,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",76.0,76.0
Alaska,2020,July,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",44.0,44.0
Alaska,2020,June,"Opioids (T40.0-T40.4,T40.6)",91.0,91.0
Alaska,2020,June,Natural & semi-synthetic opioids (T40.2),37.0,37.0
Alaska,2020,June,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",72.0,72.0
Alaska,2020,June,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",44.0,44.0
Alaska,2020,June,"Synthetic opioids, excl. methadone (T40.4)",44.0,44.0
Alaska,2020,March,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",51.0,51.0
Alaska,2020,March,"Opioids (T40.0-T40.4,T40.6)",69.0,69.0
Alaska,2020,March,"Synthetic opioids, excl. methadone (T40.4)",25.0,25.0
Alaska,2020,March,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",35.0,35.0
Alaska,2020,March,Natural & semi-synthetic opioids (T40.2),29.0,29.0
Alaska,2020,May,Natural & semi-synthetic opioids (T40.2),32.0,32.0
Alaska,2020,May,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",38.0,38.0
Alaska,2020,May,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",65.0,65.0
Alaska,2020,May,"Opioids (T40.0-T40.4,T40.6)",84.0,84.0
Alaska,2020,May,"Synthetic opioids, excl. methadone (T40.4)",38.0,38.0
Alaska,2020,November,"Synthetic opioids, excl. methadone (T40.4)",53.0,53.0
Alaska,2020,November,Natural & semi-synthetic opioids (T40.2),36.0,36.0
Alaska,2020,November,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",44.0,44.0
Alaska,2020,November,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",81.0,81.0
Alaska,2020,November,"Opioids (T40.0-T40.4,T40.6)",92.0,92.0
Alaska,2020,October,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",43.0,43.0
Alaska,2020,October,"Opioids (T40.0-T40.4,T40.6)",86.0,86.0
Alaska,2020,October,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",76.0,76.0
Alaska,2020,October,"Synthetic opioids, excl. methadone (T40.4)",48.0,48.0
Alaska,2020,October,Natural & semi-synthetic opioids (T40.2),35.0,35.0
Alaska,2020,September,"Opioids (T40.0-T40.4,T40.6)",93.0,93.0
Alaska,2020,September,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",47.0,47.0
Alaska,2020,September,"Synthetic opioids, excl. methadone (T40.4)",51.0,51.0
Alaska,2020,September,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",81.0,81.0
Alaska,2020,September,Natural & semi-synthetic opioids (T40.2),40.0,40.0
Alaska,2021,February,Natural & semi-synthetic opioids (T40.2),36.0,36.0
Alaska,2021,February,"Synthetic opioids, excl. methadone (T40.4)",68.0,68.0
Alaska,2021,February,"Opioids (T40.0-T40.4,T40.6)",108.0,108.0
Alaska,2021,February,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",43.0,43.0
Alaska,2021,February,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",94.0,94.0
Alaska,2021,January,Natural & semi-synthetic opioids (T40.2),35.0,35.0
Alaska,2021,January,"Opioids (T40.0-T40.4,T40.6)",106.0,106.0
Alaska,2021,January,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",42.0,42.0
Alaska,2021,January,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",93.0,93.0
Alaska,2021,January,"Synthetic opioids, excl. methadone (T40.4)",66.0,66.0
Alaska,2021,March,"Opioids (T40.0-T40.4,T40.6)",119.0,119.0
Alaska,2021,March,Natural & semi-synthetic opioids (T40.2),41.0,41.0
Alaska,2021,March,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",103.0,103.0
Alaska,2021,March,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",49.0,49.0
Alaska,2021,March,"Synthetic opioids, excl. methadone (T40.4)",75.0,75.0
Arizona,2018,April,"Synthetic opioids, excl. methadone (T40.4)",348.0,348.0
Arizona,2018,April,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",683.0,683.0
Arizona,2018,April,Natural & semi-synthetic opioids (T40.2),342.0,342.0
Arizona,2018,April,"Opioids (T40.0-T40.4,T40.6)",992.0,992.0
Arizona,2018,April,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",411.0,411.0
Arizona,2018,August,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",748.0,748.0
Arizona,2018,August,Natural & semi-synthetic opioids (T40.2),328.0,328.0
Arizona,2018,August,"Synthetic opioids, excl. methadone (T40.4)",436.0,436.0
Arizona,2018,August,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",400.0,400.0
Arizona,2018,August,"Opioids (T40.0-T40.4,T40.6)",1061.0,1061.0
Arizona,2018,December,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",799.0,799.0
Arizona,2018,December,"Opioids (T40.0-T40.4,T40.6)",1134.0,1134.0
Arizona,2018,December,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",367.0,367.0
Arizona,2018,December,"Synthetic opioids, excl. methadone (T40.4)",527.0,527.0
Arizona,2018,December,Natural & semi-synthetic opioids (T40.2),313.0,313.0
Arizona,2018,February,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",652.0,652.0
Arizona,2018,February,Natural & semi-synthetic opioids (T40.2),345.0,345.0
Arizona,2018,February,"Synthetic opioids, excl. methadone (T40.4)",297.0,297.0
Arizona,2018,February,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",419.0,419.0
Arizona,2018,February,"Opioids (T40.0-T40.4,T40.6)",969.0,969.0
Arizona,2018,January,Natural & semi-synthetic opioids (T40.2),349.0,349.0
Arizona,2018,January,"Synthetic opioids, excl. methadone (T40.4)",274.0,274.0
Arizona,2018,January,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",420.0,420.0
Arizona,2018,January,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",628.0,628.0
Arizona,2018,January,"Opioids (T40.0-T40.4,T40.6)",956.0,956.0
Arizona,2018,July,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",703.0,703.0
Arizona,2018,July,"Synthetic opioids, excl. methadone (T40.4)",394.0,394.0
Arizona,2018,July,Natural & semi-synthetic opioids (T40.2),322.0,322.0
Arizona,2018,July,"Opioids (T40.0-T40.4,T40.6)",1013.0,1013.0
Arizona,2018,July,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",393.0,393.0
Arizona,2018,June,"Opioids (T40.0-T40.4,T40.6)",995.0,995.0
Arizona,2018,June,"Synthetic opioids, excl. methadone (T40.4)",379.0,379.0
Arizona,2018,June,Natural & semi-synthetic opioids (T40.2),326.0,326.0
Arizona,2018,June,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",697.0,697.0
Arizona,2018,June,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",397.0,397.0
Arizona,2018,March,Natural & semi-synthetic opioids (T40.2),341.0,341.0
Arizona,2018,March,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",412.0,412.0
Arizona,2018,March,"Synthetic opioids, excl. methadone (T40.4)",324.0,324.0
Arizona,2018,March,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",662.0,662.0
Arizona,2018,March,"Opioids (T40.0-T40.4,T40.6)",973.0,973.0
Arizona,2018,May,"Opioids (T40.0-T40.4,T40.6)",980.0,980.0
Arizona,2018,May,"Synthetic opioids, excl. methadone (T40.4)",358.0,358.0
Arizona,2018,May,Natural & semi-synthetic opioids (T40.2),323.0,323.0
Arizona,2018,May,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",680.0,680.0
Arizona,2018,May,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",396.0,396.0
Arizona,2018,November,"Synthetic opioids, excl. methadone (T40.4)",499.0,499.0
Arizona,2018,November,"Opioids (T40.0-T40.4,T40.6)",1112.0,1112.0
Arizona,2018,November,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",367.0,367.0
Arizona,2018,November,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",778.0,778.0
Arizona,2018,November,Natural & semi-synthetic opioids (T40.2),311.0,311.0
Arizona,2018,October,Natural & semi-synthetic opioids (T40.2),311.0,311.0
Arizona,2018,October,"Opioids (T40.0-T40.4,T40.6)",1079.0,1079.0
Arizona,2018,October,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",761.0,761.0
Arizona,2018,October,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",376.0,376.0
Arizona,2018,October,"Synthetic opioids, excl. methadone (T40.4)",478.0,478.0
Arizona,2018,September,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",764.0,764.0
Arizona,2018,September,Natural & semi-synthetic opioids (T40.2),317.0,317.0
Arizona,2018,September,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",391.0,391.0
Arizona,2018,September,"Opioids (T40.0-T40.4,T40.6)",1077.0,1077.0
Arizona,2018,September,"Synthetic opioids, excl. methadone (T40.4)",465.0,465.0
Arizona,2019,April,Natural & semi-synthetic opioids (T40.2),311.0,311.0
Arizona,2019,April,"Synthetic opioids, excl. methadone (T40.4)",596.0,596.0
Arizona,2019,April,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",861.0,861.0
Arizona,2019,April,"Opioids (T40.0-T40.4,T40.6)",1166.0,1166.0
Arizona,2019,April,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",363.0,363.0
Arizona,2019,August,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",938.0,938.0
Arizona,2019,August,"Opioids (T40.0-T40.4,T40.6)",1215.0,1215.0
Arizona,2019,August,"Synthetic opioids, excl. methadone (T40.4)",684.0,684.0
Arizona,2019,August,Natural & semi-synthetic opioids (T40.2),308.0,308.0
Arizona,2019,August,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",365.0,365.0
Arizona,2019,December,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",366.0,366.0
Arizona,2019,December,Natural & semi-synthetic opioids (T40.2),309.0,309.0
Arizona,2019,December,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",1074.0,1074.0
Arizona,2019,December,"Opioids (T40.0-T40.4,T40.6)",1326.0,1326.0
Arizona,2019,December,"Synthetic opioids, excl. methadone (T40.4)",824.0,824.0
Arizona,2019,February,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",365.0,365.0
Arizona,2019,February,"Synthetic opioids, excl. methadone (T40.4)",564.0,564.0
Arizona,2019,February,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",826.0,826.0
Arizona,2019,February,"Opioids (T40.0-T40.4,T40.6)",1153.0,1153.0
Arizona,2019,February,Natural & semi-synthetic opioids (T40.2),310.0,310.0
Arizona,2019,January,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",361.0,361.0
Arizona,2019,January,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",820.0,820.0
Arizona,2019,January,"Synthetic opioids, excl. methadone (T40.4)",558.0,558.0
Arizona,2019,January,"Opioids (T40.0-T40.4,T40.6)",1145.0,1145.0
Arizona,2019,January,Natural & semi-synthetic opioids (T40.2),309.0,309.0
Arizona,2019,July,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",919.0,919.0
Arizona,2019,July,"Opioids (T40.0-T40.4,T40.6)",1210.0,1210.0
Arizona,2019,July,"Synthetic opioids, excl. methadone (T40.4)",670.0,670.0
Arizona,2019,July,Natural & semi-synthetic opioids (T40.2),305.0,305.0
Arizona,2019,July,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",358.0,358.0
Arizona,2019,June,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",881.0,881.0
Arizona,2019,June,"Opioids (T40.0-T40.4,T40.6)",1180.0,1180.0
Arizona,2019,June,"Synthetic opioids, excl. methadone (T40.4)",627.0,627.0
Arizona,2019,June,Natural & semi-synthetic opioids (T40.2),310.0,310.0
Arizona,2019,June,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",361.0,361.0
Arizona,2019,March,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",838.0,838.0
Arizona,2019,March,"Synthetic opioids, excl. methadone (T40.4)",570.0,570.0
Arizona,2019,March,Natural & semi-synthetic opioids (T40.2),311.0,311.0
Arizona,2019,March,"Opioids (T40.0-T40.4,T40.6)",1156.0,1156.0
